Athlete,Nat,Gold,Silver,Bronze,Total
Endre Kabos,HUN,3,0,1,4
Dmitry Bilozerchev,RUS URS,3,0,1,4
Andrey Lavrov,RUS URS EUN,3,0,1,4
James Tomkins,AUS,3,0,1,4
Kathleen Heddle,CAN,3,0,1,4
Marnie McBean,CAN,3,0,1,4
Konrad Stäheli,SUI,3,0,1,4
Michelle Smith,IRL,3,0,1,4
Jim Montgomery,USA,3,0,1,4
György Kárpáti,HUN,3,0,1,4
Pyrros Dimas,GRE,3,0,1,4
Ugo Frigerio,ITA,3,0,1,4
Wilma Rudolph,USA,3,0,1,4
Martin Sheridan,USA,3,0,1,4
Nina Gavrylyuk,RUS URS,3,0,1,4
Pavol Hochschorner,SVK,3,0,1,4
Peter Hochschorner,SVK,3,0,1,4
Kerri Walsh Jennings,USA,3,0,1,4
Meinhard Nehmer,GDR,3,0,1,4
Carmelo Anthony,USA,3,0,1,4
Kamil Stoch,POL,3,0,1,4
Ed Clancy,GBR,3,0,1,4
LaShawn Merritt,USA,3,0,1,4
Áron Szilágyi,HUN,3,0,1,4
Kaillie Humphries,CAN USA,3,0,1,4
Jorien ter Mors,NED,3,0,1,4
Gi Bo-Bae,KOR,3,0,1,4
Sebastian Brendel,GER,3,0,1,4
Matthias Mayer,AUT,3,0,1,4
Johannes Ludwig,GER,3,0,1,4
Kaylee McKeown,AUS,3,0,1,4
Edmond Cloetens,BEL,3,0,0,3
Edmond Van Moer,BEL,3,0,0,3
Lisa Fernandez,USA,3,0,0,3
Lori Harrigan,USA,3,0,0,3
Leah O'Brien-Amico,USA,3,0,0,3
Félix Savón,CUB,3,0,0,3
Teófilo Stevenson,CUB,3,0,0,3
Lida Howell,USA,3,0,0,3
László Papp,HUN,3,0,0,3
Dawn Staley,USA,3,0,0,3
Sheryl Swoopes,USA,3,0,0,3
Vladimir Morozov,URS UKR,3,0,0,3
Vladimir Parfenovich,BLR URS,3,0,0,3
Sergey Chukhray,URS UKR,3,0,0,3
Monica Theodorescu,GER FRG,3,0,0,3
Richard Meade,GBR,3,0,0,3
Matt Ryan,AUS,3,0,0,3
Adolf van der Voort van Zijp,NED,3,0,0,3
Félicia Ballanger,FRA,3,0,0,3
